T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,DROP,Type,Architecture,Precision,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,model_name_for_query
🔶,"<a target=""_blank"" href=""https://huggingface.co/OpenBuddy/openbuddy-falcon-180b-v13-preview0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">OpenBuddy/openbuddy-falcon-180b-v13-preview0</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_OpenBuddy__openbuddy-falcon-180b-v13-preview0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",64.3,65.1,86.19,64.6,54.97,82.64,41.62,54.98,fine-tuned,FalconForCausalLM,8bit,?,178.64,0.0,True,7d7b93ffd67d1b0c39f3503050dbbcc951948120,OpenBuddy/openbuddy-falcon-180b-v13-preview0
🔶,"<a target=""_blank"" href=""https://huggingface.co/garage-bAInd/Camel-Platypus2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">garage-bAInd/Camel-Platypus2-70B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_garage-bAInd__Camel-Platypus2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",64.23,71.08,87.6,70.04,58.09,83.82,22.9,56.1,fine-tuned,LlamaForCausalLM,torch.float16,cc-by-nc-4.0,68.72,12.0,True,b9f8de09ab860ee8ba570db7227c5444020ea056,garage-bAInd/Camel-Platypus2-70B
🔶,"<a target=""_blank"" href=""https://huggingface.co/garage-bAInd/Platypus2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">garage-bAInd/Platypus2-70B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_garage-bAInd__Platypus2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",64.16,70.65,87.15,70.08,52.37,84.37,33.06,51.41,fine-tuned,LlamaForCausalLM,torch.float16,cc-by-nc-sa-4.0,68.72,19.0,True,16b6583ad58313331f86be18e531ab03f1857695,garage-bAInd/Platypus2-70B
?,"<a target=""_blank"" href=""https://huggingface.co/liuxiang886/llama2-70B-qlora-gpt4"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">liuxiang886/llama2-70B-qlora-gpt4</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_liuxiang886__llama2-70B-qlora-gpt4"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",64.13,70.31,86.39,69.29,54.02,82.87,28.89,57.15,,LlamaForCausalLM,torch.float16,?,68.72,0.0,True,08115ee077953e9c01c6a40f5086def3ecf9f5f0,liuxiang886/llama2-70B-qlora-gpt4
⭕,"<a target=""_blank"" href=""https://huggingface.co/garage-bAInd/Camel-Platypus2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">garage-bAInd/Camel-Platypus2-70B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_garage-bAInd__Camel-Platypus2-70B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",64.05,70.14,87.71,69.83,57.77,82.95,23.96,55.97,instruction-tuned,LlamaForCausalLM,8bit,cc-by-nc-4.0,68.72,12.0,True,6f958a1063fe1e6075f6e379fae621ff5a1d98c6,garage-bAInd/Camel-Platypus2-70B
🔶,"<a target=""_blank"" href=""https://huggingface.co/s1ghhh/medllama-2-70b-qlora-1.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">s1ghhh/medllama-2-70b-qlora-1.1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_s1ghhh__medllama-2-70b-qlora-1.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",63.58,69.03,87.17,71.04,52.41,84.21,32.07,49.1,fine-tuned,?,torch.float16,llama2,70.0,1.0,False,d55e05e9d67418c639933c85a5b9d17c6f531a92,s1ghhh/medllama-2-70b-qlora-1.1
🔶,"<a target=""_blank"" href=""https://huggingface.co/migtissera/Synthia-70B-v1.2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">migtissera/Synthia-70B-v1.2</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_migtissera__Synthia-70B-v1.2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",63.41,70.48,86.98,70.13,58.64,83.27,31.92,42.42,fine-tuned,LlamaForCausalLM,torch.float16,llama2,68.72,16.0,True,9b92ee1093b125035ba1649dca6f4ceb9d86a656,migtissera/Synthia-70B-v1.2
🔶,"<a target=""_blank"" href=""https://huggingface.co/fblgit/juanako-7b-UNA"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">fblgit/juanako-7b-UNA</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_fblgit__juanako-7b-UNA"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",63.36,68.17,85.34,62.47,65.13,78.85,44.81,38.74,fine-tuned,MistralForCausalLM,torch.bfloat16,apache-2.0,7.24,1.0,True,3e12f691e1f442f69eaff408677a54ebc69d5dc8,fblgit/juanako-7b-UNA
🔶,"<a target=""_blank"" href=""https://huggingface.co/psmathur/model_007"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">psmathur/model_007</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_psmathur__model_007"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",63.2,71.08,87.65,69.04,63.12,83.35,37.15,31.05,fine-tuned,LlamaForCausalLM,torch.float16,llama2,68.72,19.0,True,0f5d81b13718a866cb078bd8762ab80a41972663,psmathur/model_007
🔶,"<a target=""_blank"" href=""https://huggingface.co/upstage/llama-65b-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">upstage/llama-65b-instruct</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_upstage__llama-65b-instruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",63.1,68.86,86.43,64.77,59.7,81.06,26.23,54.69,fine-tuned,LlamaForCausalLM,torch.float16,?,65.02,9.0,True,b95668861dfb7b0abca44ccdbef2db49b2dd8917,upstage/llama-65b-instruct
🔶,"<a target=""_blank"" href=""https://huggingface.co/sequelbox/SharpBalance"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">sequelbox/SharpBalance</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_sequelbox__SharpBalance"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",63.01,69.28,87.59,69.51,59.05,84.06,34.65,36.93,fine-tuned,LlamaForCausalLM,torch.float16,llama2,69.24,3.0,True,a87cb1756d7b7389cc5a6d4647cf53377e962aea,sequelbox/SharpBalance
