T,Model,Average ⬆️,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K,DROP,Type,Architecture,Precision,Hub License,#Params (B),Hub ❤️,Available on the hub,Model sha,model_name_for_query
🔶,"<a target=""_blank"" href=""https://huggingface.co/Mikivis/gpt2-large-lora-stf4"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Mikivis/gpt2-large-lora-stf4</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Mikivis__gpt2-large-lora-stf4"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",28.07,26.88,42.17,25.53,40.84,53.59,0.0,7.44,fine-tuned,GPT2LMHeadModel,torch.float16,?,0.77,0.0,True,82eff3a62116fd589ad7319c9d75ff6b12f42f72,Mikivis/gpt2-large-lora-stf4
🔶,"<a target=""_blank"" href=""https://huggingface.co/Mikivis/gpt2-large-lora-sft"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Mikivis/gpt2-large-lora-sft</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Mikivis__gpt2-large-lora-sft"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",28.05,26.79,44.15,25.82,39.06,55.09,0.0,5.46,fine-tuned,GPT2LMHeadModel,torch.float16,mit,0.77,1.0,True,1c0c5a686f3c83692e033416197155557e4d3a0d,Mikivis/gpt2-large-lora-sft
🔶,"<a target=""_blank"" href=""https://huggingface.co/Mikivis/gpt2-large-lora-sft2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Mikivis/gpt2-large-lora-sft2</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Mikivis__gpt2-large-lora-sft2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",28.04,26.62,42.68,24.72,40.31,53.67,0.0,8.31,fine-tuned,GPT2LMHeadModel,torch.float16,?,0.77,0.0,True,1244efb5d20765beb54f6b4a4e1426cf6d5daf44,Mikivis/gpt2-large-lora-sft2
🔶,"<a target=""_blank"" href=""https://huggingface.co/KoboldAI/fairseq-dense-355M"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">KoboldAI/fairseq-dense-355M</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_KoboldAI__fairseq-dense-355M"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.99,25.43,46.67,25.3,39.19,52.88,0.0,6.48,fine-tuned,XGLMForCausalLM,torch.float16,?,0.4,6.0,True,24da1ea670f0638c2df911596e95c764bcd5fb44,KoboldAI/fairseq-dense-355M
🔶,"<a target=""_blank"" href=""https://huggingface.co/aisquared/dlite-v1-774m"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">aisquared/dlite-v1-774m</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_aisquared__dlite-v1-774m"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.95,28.07,44.35,25.91,36.11,54.62,0.0,6.62,fine-tuned,GPT2LMHeadModel,torch.float16,apache-2.0,0.77,0.0,True,d3f5401d07965fb13c2cb8b458ffaed9a5a79c2d,aisquared/dlite-v1-774m
⭕,"<a target=""_blank"" href=""https://huggingface.co/rinna/bilingual-gpt-neox-4b-instruction-sft"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">rinna/bilingual-gpt-neox-4b-instruction-sft</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_rinna__bilingual-gpt-neox-4b-instruction-sft"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.89,28.07,47.5,23.12,43.76,52.33,0.0,0.44,instruction-tuned,GPTNeoXForCausalLM,torch.float16,mit,3.8,14.0,True,c20e42bd49a3b1b0d0a07151899a322c4760e871,rinna/bilingual-gpt-neox-4b-instruction-sft
🟢,"<a target=""_blank"" href=""https://huggingface.co/stabilityai/stablelm-base-alpha-3b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">stabilityai/stablelm-base-alpha-3b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_stabilityai__stablelm-base-alpha-3b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.87,26.45,42.24,25.43,40.5,53.91,0.45,6.14,pretrained,GPTNeoXForCausalLM,torch.float16,['cc-by-sa-4.0'],3.43,82.0,True,99567ccfe45fabe467c71393aa6716106edb83c2,stabilityai/stablelm-base-alpha-3b
🟢,"<a target=""_blank"" href=""https://huggingface.co/PY007/TinyLlama-1.1B-step-50K-105b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">PY007/TinyLlama-1.1B-step-50K-105b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_PY007__TinyLlama-1.1B-step-50K-105b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.87,25.85,44.1,26.78,39.51,54.38,0.53,3.91,pretrained,LlamaForCausalLM,torch.float16,apache-2.0,1.1,102.0,True,c1f1ef67c12e4bb85fe0bdf1747c645a202cc118,PY007/TinyLlama-1.1B-step-50K-105b
🔶,"<a target=""_blank"" href=""https://huggingface.co/Mikivis/gpt2-large-lora-sft1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Mikivis/gpt2-large-lora-sft1</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Mikivis__gpt2-large-lora-sft1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.78,24.66,42.67,24.89,39.37,54.46,0.0,8.43,fine-tuned,GPT2LMHeadModel,torch.float16,?,0.77,0.0,True,8e26a8d2dc1661d87a8652c75f00b805d63e7330,Mikivis/gpt2-large-lora-sft1
🟢,"<a target=""_blank"" href=""https://huggingface.co/EleutherAI/pythia-410m"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">EleutherAI/pythia-410m</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_EleutherAI__pythia-410m"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.68,26.19,40.85,27.25,41.22,53.12,0.68,4.46,pretrained,GPTNeoXForCausalLM,torch.float16,apache-2.0,0.51,8.0,True,9879c9b5f8bea9051dcb0e68dff21493d67e9d4f,EleutherAI/pythia-410m
🟢,"<a target=""_blank"" href=""https://huggingface.co/rinna/bilingual-gpt-neox-4b-8k"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">rinna/bilingual-gpt-neox-4b-8k</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_rinna__bilingual-gpt-neox-4b-8k"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.67,28.58,43.94,25.38,47.48,47.99,0.0,0.31,pretrained,GPTNeoXForCausalLM,torch.float16,mit,3.95,22.0,True,ad56d7fc86db4ad5a7036bc9f80e11cd6f435a60,rinna/bilingual-gpt-neox-4b-8k
🔶,"<a target=""_blank"" href=""https://huggingface.co/PygmalionAI/pygmalion-1.3b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">PygmalionAI/pygmalion-1.3b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_PygmalionAI__pygmalion-1.3b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.64,28.07,46.96,24.12,37.64,50.04,0.0,6.65,fine-tuned,GPTNeoXForCausalLM,torch.float16,agpl-3.0,1.52,51.0,True,bef2c90128c00ff6f16c0f397463423b7d988e17,PygmalionAI/pygmalion-1.3b
🟢,"<a target=""_blank"" href=""https://huggingface.co/rinna/bilingual-gpt-neox-4b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">rinna/bilingual-gpt-neox-4b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_rinna__bilingual-gpt-neox-4b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.58,29.18,43.73,23.1,45.0,51.85,0.0,0.19,pretrained,GPTNeoXForCausalLM,torch.float16,mit,3.95,21.0,True,f02f6f3c8da0093f3c1ce59220409bc2fa9fbb17,rinna/bilingual-gpt-neox-4b
🔶,"<a target=""_blank"" href=""https://huggingface.co/aisquared/dlite-v2-355m"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">aisquared/dlite-v2-355m</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_aisquared__dlite-v2-355m"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.53,28.33,40.54,26.77,38.76,52.8,0.0,5.53,fine-tuned,GPT2LMHeadModel,torch.float16,apache-2.0,0.36,7.0,True,f51d310aebc16a9fe0d999d2a437b5faff635716,aisquared/dlite-v2-355m
⭕,"<a target=""_blank"" href=""https://huggingface.co/nicholasKluge/Aira-2-774M"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">nicholasKluge/Aira-2-774M</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_nicholasKluge__Aira-2-774M"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.47,28.75,40.8,25.1,41.33,52.01,0.0,4.26,instruction-tuned,?,torch.float16,apache-2.0,0.77,2.0,False,f43044cfe7bf0827a176f0d319c63251c2b29373,nicholasKluge/Aira-2-774M
🔶,"<a target=""_blank"" href=""https://huggingface.co/player1537/dolphinette"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">player1537/dolphinette</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_player1537__dolphinette"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.43,24.91,37.33,25.37,42.08,54.22,0.0,8.1,fine-tuned,BloomForCausalLM,torch.float16,?,0.56,0.0,True,20529d47b0a82343014727edd1639a9a6a6b09e6,player1537/dolphinette
🟢,"<a target=""_blank"" href=""https://huggingface.co/EleutherAI/pythia-410m-deduped"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">EleutherAI/pythia-410m-deduped</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_EleutherAI__pythia-410m-deduped"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.43,24.83,41.29,25.99,40.95,54.38,0.3,4.26,pretrained,GPTNeoXForCausalLM,torch.float16,apache-2.0,0.51,13.0,True,c4fc8d586d62df497f1f9b69d66d3ca419992d3e,EleutherAI/pythia-410m-deduped
🔶,"<a target=""_blank"" href=""https://huggingface.co/KnutJaegersberg/gpt-2-xl-EvolInstruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">KnutJaegersberg/gpt-2-xl-EvolInstruct</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_KnutJaegersberg__gpt-2-xl-EvolInstruct"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.41,27.39,38.46,25.67,42.76,53.51,0.15,3.91,fine-tuned,GPT2LMHeadModel,torch.float16,cc-by-nc-4.0,1.61,0.0,True,3e68735b9bfbca5c2e6a8e4367f003ab3d3c1512,KnutJaegersberg/gpt-2-xl-EvolInstruct
?,"<a target=""_blank"" href=""https://huggingface.co/FabbriSimo01/Cerebras_1.3b_Quantized"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">FabbriSimo01/Cerebras_1.3b_Quantized</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_FabbriSimo01__Cerebras_1.3b_Quantized"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.36,25.94,38.56,26.79,42.67,53.51,0.38,3.71,,GPT2LMHeadModel,torch.float16,mit,1.32,0.0,True,e2126a42a1c8a938553dd513e4adafec41cb793e,FabbriSimo01/Cerebras_1.3b_Quantized
🟢,"<a target=""_blank"" href=""https://huggingface.co/cerebras/Cerebras-GPT-1.3B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">cerebras/Cerebras-GPT-1.3B</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_cerebras__Cerebras-GPT-1.3B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.35,26.28,38.54,26.59,42.7,53.43,0.23,3.7,pretrained,?,torch.float16,apache-2.0,1.32,43.0,True,5b95400ee8d1e3cc9f79f0dec7182ed9c1009c34,cerebras/Cerebras-GPT-1.3B
🔶,"<a target=""_blank"" href=""https://huggingface.co/winglian/basilisk-4b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">winglian/basilisk-4b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_winglian__basilisk-4b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.26,25.85,39.6,24.61,43.74,53.12,0.0,3.89,fine-tuned,LlamaForCausalLM,torch.bfloat16,?,3.37,3.0,True,b91c2e5389f4f0ce2d6042fdce5927343d8dcb06,winglian/basilisk-4b
⭕,"<a target=""_blank"" href=""https://huggingface.co/llm-jp/llm-jp-13b-instruct-full-jaster-dolly-oasst-v1.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">llm-jp/llm-jp-13b-instruct-full-jaster-dolly-oasst-v1.0</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_llm-jp__llm-jp-13b-instruct-full-jaster-dolly-oasst-v1.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.24,26.88,44.78,23.12,45.19,50.67,0.0,0.01,instruction-tuned,GPT2LMHeadModel,torch.float16,apache-2.0,13.0,6.0,True,68282fe744c69ea2e4420a4a6833c0b9168215eb,llm-jp/llm-jp-13b-instruct-full-jaster-dolly-oasst-v1.0
⭕,"<a target=""_blank"" href=""https://huggingface.co/llm-jp/llm-jp-13b-instruct-full-jaster-v1.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">llm-jp/llm-jp-13b-instruct-full-jaster-v1.0</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_llm-jp__llm-jp-13b-instruct-full-jaster-v1.0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.11,27.22,44.7,23.12,44.69,50.04,0.0,0.02,instruction-tuned,GPT2LMHeadModel,torch.float16,apache-2.0,13.0,13.0,True,b44eac954eac7ddbceba4f510325fd710c977eab,llm-jp/llm-jp-13b-instruct-full-jaster-v1.0
🔶,"<a target=""_blank"" href=""https://huggingface.co/Corianas/Quokka_1.3b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Corianas/Quokka_1.3b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Corianas__Quokka_1.3b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.1,27.73,37.91,26.66,40.14,52.72,0.0,4.54,fine-tuned,GPT2LMHeadModel,torch.float16,apache-2.0,1.42,0.0,True,8a8d738e841a524d658897d89b9e39e7b9272ed8,Corianas/Quokka_1.3b
⭕,"<a target=""_blank"" href=""https://huggingface.co/SummerSigh/GPTNeo350M-Instruct-SFT"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">SummerSigh/GPTNeo350M-Instruct-SFT</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_SummerSigh__GPTNeo350M-Instruct-SFT"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.03,25.94,38.55,25.76,45.25,50.2,0.3,3.24,instruction-tuned,GPTNeoForCausalLM,torch.float16,apache-2.0,0.46,0.0,True,5e41660ced3edf13c47e933112efd280b710b977,SummerSigh/GPTNeo350M-Instruct-SFT
?,"<a target=""_blank"" href=""https://huggingface.co/Corianas/1.3b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Corianas/1.3b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_Corianas__1.3b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.02,27.3,38.3,26.77,39.02,53.04,0.15,4.57,,GPT2LMHeadModel,torch.float16,cc-by-nc-4.0,1.42,2.0,True,9831f95df82155ef95ff46a505506bf6194b131a,Corianas/1.3b
🔶,"<a target=""_blank"" href=""https://huggingface.co/TehVenom/DiffMerge-DollyGPT-Pygmalion"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">TehVenom/DiffMerge-DollyGPT-Pygmalion</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_TehVenom__DiffMerge-DollyGPT-Pygmalion"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.01,23.63,34.38,24.41,46.48,53.83,0.0,6.33,fine-tuned,GPTJForCausalLM,torch.float16,?,5.84,2.0,True,6a00b371146d4bd2903890814485ee1b775162e7,TehVenom/DiffMerge-DollyGPT-Pygmalion
⭕,"<a target=""_blank"" href=""https://huggingface.co/nicholasKluge/Aira-2-355M"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">nicholasKluge/Aira-2-355M</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_nicholasKluge__Aira-2-355M"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",27.0,27.56,38.92,27.26,38.53,53.75,0.0,2.99,instruction-tuned,?,torch.float16,apache-2.0,0.36,0.0,False,2479f5b1bb62251ec88e60182ba81390a4c19cf9,nicholasKluge/Aira-2-355M
🔶,"<a target=""_blank"" href=""https://huggingface.co/aisquared/dlite-v1-355m"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">aisquared/dlite-v1-355m</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_aisquared__dlite-v1-355m"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",26.94,27.13,39.07,27.12,37.13,52.8,0.0,5.34,fine-tuned,GPT2LMHeadModel,torch.float16,apache-2.0,0.36,1.0,True,c5f4b5a61e6a66a5c7613164d99a70db5bf7e9a2,aisquared/dlite-v1-355m
🔶,"<a target=""_blank"" href=""https://huggingface.co/MBZUAI/lamini-cerebras-1.3b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">MBZUAI/lamini-cerebras-1.3b</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_MBZUAI__lamini-cerebras-1.3b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",26.91,26.88,37.96,28.43,36.45,50.59,0.0,8.07,fine-tuned,GPT2LMHeadModel,torch.float16,cc-by-nc-4.0,1.32,1.0,True,502e70081df53edc8a9156acf5a26a11a9dad8fb,MBZUAI/lamini-cerebras-1.3b
🟢,"<a target=""_blank"" href=""https://huggingface.co/RWKV/rwkv-4-430m-pile"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">RWKV/rwkv-4-430m-pile</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_RWKV__rwkv-4-430m-pile"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",26.89,26.71,40.01,24.85,39.58,51.14,0.38,5.54,pretrained,RwkvForCausalLM,torch.float16,?,0.38,3.0,True,a4f6ec80438d4262d1bbc8f385feb2ef1a4a9d6b,RWKV/rwkv-4-430m-pile
🟢,"<a target=""_blank"" href=""https://huggingface.co/robowaifudev/megatron-gpt2-345m"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">robowaifudev/megatron-gpt2-345m</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_robowaifudev__megatron-gpt2-345m"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",26.78,24.23,39.18,24.32,41.51,52.96,0.23,5.04,pretrained,GPT2LMHeadModel,torch.float16,apache-2.0,0.38,4.0,True,b39f8d00fb9f33da4271be2035da848da896a23b,robowaifudev/megatron-gpt2-345m
🔶,"<a target=""_blank"" href=""https://huggingface.co/postbot/emailgen-pythia-410m-deduped"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">postbot/emailgen-pythia-410m-deduped</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_postbot__emailgen-pythia-410m-deduped"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",26.65,27.9,40.04,27.35,38.2,52.09,0.0,0.99,fine-tuned,GPTNeoXForCausalLM,torch.float16,apache-2.0,0.51,0.0,True,e0208b02990c49138350da791f0b6fcb8a65e738,postbot/emailgen-pythia-410m-deduped
🟢,"<a target=""_blank"" href=""https://huggingface.co/ahxt/llama2_xs_460M_experimental"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ahxt/llama2_xs_460M_experimental</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_ahxt__llama2_xs_460M_experimental"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",26.65,24.91,38.47,26.17,41.59,49.88,0.0,5.51,pretrained,LlamaForCausalLM,torch.float16,?,0.41,4.0,True,c8db281477559f5c969a9be794ce236f8a99e1a0,ahxt/llama2_xs_460M_experimental
🟦,"<a target=""_blank"" href=""https://huggingface.co/TheTravellingEngineer/bloom-560m-RLHF-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">TheTravellingEngineer/bloom-560m-RLHF-v2</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_TheTravellingEngineer__bloom-560m-RLHF-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",26.63,26.45,37.67,23.95,43.51,50.91,0.08,3.88,RL-tuned,BloomForCausalLM,torch.float16,?,0.56,3.0,True,7128cbfcdaf67f1eff27e45d875c35e7b47618db,TheTravellingEngineer/bloom-560m-RLHF-v2
⭕,"<a target=""_blank"" href=""https://huggingface.co/KnutJaegersberg/megatron-gpt2-345m-evol_instruct_v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">KnutJaegersberg/megatron-gpt2-345m-evol_instruct_v2</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_KnutJaegersberg__megatron-gpt2-345m-evol_instruct_v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",26.63,26.37,38.39,23.6,41.19,52.33,0.0,4.54,instruction-tuned,GPT2LMHeadModel,torch.float16,cc-by-nc-4.0,0.36,1.0,True,2866eeaaf62014a7a6e939d18b6e27f44df48428,KnutJaegersberg/megatron-gpt2-345m-evol_instruct_v2
🔶,"<a target=""_blank"" href=""https://huggingface.co/xhyi/PT_GPTNEO350_ATG"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">xhyi/PT_GPTNEO350_ATG</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_xhyi__PT_GPTNEO350_ATG"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",26.63,25.43,37.59,24.79,43.05,51.46,0.45,3.64,fine-tuned,GPTNeoForCausalLM,torch.float16,?,0.36,18.0,True,56ab08aaa6802d0f830d42c352d5d536be72811d,xhyi/PT_GPTNEO350_ATG
🔶,"<a target=""_blank"" href=""https://huggingface.co/KnutJaegersberg/RWKV-4-PilePlus-430M-20230520-6162-1018Gtokens-ctx4098"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">KnutJaegersberg/RWKV-4-PilePlus-430M-20230520-6162-1018Gtokens-ctx4098</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_KnutJaegersberg__RWKV-4-PilePlus-430M-20230520-6162-1018Gtokens-ctx4098"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",26.6,26.02,40.39,24.45,37.57,52.41,0.23,5.1,fine-tuned,?,torch.float16,apache-2.0,0.38,0.0,True,e31777c9d3b8c5c9f803b23f49550c009cbdcf6d,KnutJaegersberg/RWKV-4-PilePlus-430M-20230520-6162-1018Gtokens-ctx4098
?,"<a target=""_blank"" href=""https://huggingface.co/WangZeJun/bloom-820m-chat"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">WangZeJun/bloom-820m-chat</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_WangZeJun__bloom-820m-chat"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",26.55,23.38,34.16,25.98,40.32,53.2,0.0,8.85,,BloomForCausalLM,torch.float16,bigscience-bloom-rail-1.0,0.75,2.0,True,f98b1f9c1bd358dd837d05d443d992c495497606,WangZeJun/bloom-820m-chat
🟢,"<a target=""_blank"" href=""https://huggingface.co/yec019/fbopt-350m-8bit"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">yec019/fbopt-350m-8bit</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_yec019__fbopt-350m-8bit"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",26.51,23.55,36.6,26.22,40.97,52.64,1.29,4.31,pretrained,OPTForCausalLM,8bit,unknown,0.33,0.0,True,305f804054d75a406a85a568ea99dca17cfc998d,yec019/fbopt-350m-8bit
🔶,"<a target=""_blank"" href=""https://huggingface.co/health360/Healix-410M"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">health360/Healix-410M</a>  <a target=""_blank"" href=""https://huggingface.co/datasets/open-llm-leaderboard/details_health360__Healix-410M"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">📑</a>",26.5,25.09,32.02,24.94,44.42,54.14,0.0,4.91,fine-tuned,?,torch.bfloat16,?,0.35,0.0,False,df5a3cec54a0bdd22e1644bfe576c7b58eca6bfd,health360/Healix-410M
